personid,vehicleid,crashid,personinvolvementcd,sex,dob,personalinjurylevel,seatlocationcd,transportedind,ejectionind,airbagcd,alcoholuseind,pedestrianlocationcd,pedestriantype,pedestrianschoolinfoind,ageatcrash,contribcirccd1,contribcirccd2,contribcirccd3,contribcirccd4,contribcirccd5,contribcirccd6,contribcirccd7,contribcirccd8,contribcirccd9,contribcirccd10,contribcirccd11,contribcirccd12,distractioncd1,distractioncd2,distractioncd3,distractioncd4,pedestrianactioncd1,pedestrianactioncd2,pedestrianactioncd3,pedestrianactioncd4,pedestrianactioncd5,safetydevicecd1,safetydevicecd2
0130064157V7P1I01   ,0130064157V7 ,130064157,1,U,0001-01-01,U,FL,U ,U ,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130049758V1P1I01   ,0130049758V1 ,130049758,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130068842V3P1I01   ,0130068842V3 ,130068842,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130040470V1P1I01   ,0130040470V1 ,130040470,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130015023V1P1I01   ,3130015023V1 ,3130015023,1,U,0001-01-01,5,FL,1,2,1,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130035837V1P1I01   ,0130035837V1 ,130035837,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
2130030320V1P1I01   ,2130030320V1 ,2130030320,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130055852V1P1I01   ,0130055852V1 ,130055852,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
0130014197V1P1I01   ,0130014197V1 ,130014197,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130024232V1P1I01   ,0130024232V1 ,130024232,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
3130014182V2P3I01   ,3130014182V2 ,3130014182,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130036606V1P1I01   ,0130036606V1 ,130036606,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130024146V1P1I01   ,0130024146V1 ,130024146,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130042653V1P1I01   ,0130042653V1 ,130042653,1,U,0001-01-01,U,FL,1,U ,3,U ,NA,  ,  ,999,4,,,,,,,,,,,,,,,,,,,,,1,
2130001753V1P1I01   ,2130001753V1 ,2130001753,1,U,8/28/74,U,FL,1,2,3,N ,NA,N ,  ,38,9,,,,,,,,,,,,,,,,,,,,,5,
0130018079V1P1I01   ,0130018079V1 ,130018079,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,,
0130026558V1P1I01   ,0130026558V1 ,130026558,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,33,,,,,,,,,,,,,,,,,,,,,U ,
0130036825V2P1I01   ,0130036825V2 ,130036825,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,,
0130024578V1P1I01   ,0130024578V1 ,130024578,1,U,0001-01-01,U,FL,NA,NA,5,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
2130002707V1P1I01   ,2130002707V1 ,2130002707,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130036465V2P1I01   ,0130036465V2 ,130036465,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130057025V1P1I01   ,0130057025V1 ,130057025,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,4,17,,,,,,,,,,,,,,,,,,,,U ,
0130031337V1P1I01   ,0130031337V1 ,130031337,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
2130033199V1P1I01   ,2130033199V1 ,2130033199,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130048767V1P1I01   ,0130048767V1 ,130048767,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130068727V1P1I01   ,0130068727V1 ,130068727,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130029549V1P1I01   ,0130029549V1 ,130029549,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130027103V2P3I01   ,2130027103V2 ,2130027103,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130060949V2P1I01   ,0130060949V2 ,130060949,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,,
2130024248V2P2I01   ,2130024248V2 ,2130024248,1,U,8/29/90,5,FL,1,2,3,N ,NA,N ,  ,23,22,,,,,,,,,,,,,,,,,,,,,U ,
2130021700V1P1I01   ,2130021700V1 ,2130021700,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,N ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130042051V1P1I01   ,0130042051V1 ,130042051,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,,
0130034569V1P1I01   ,0130034569V1 ,130034569,1,U,0001-01-01,5,FL,1,2,5,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130059228V1P1I01   ,0130059228V1 ,130059228,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130026294V1P1I01   ,0130026294V1 ,130026294,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,,
0130030941V1P1I01   ,0130030941V1 ,130030941,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130049979V1P1I01   ,0130049979V1 ,130049979,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130026029V2P3I01   ,2130026029V2 ,2130026029,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
2130004772V1P1I01   ,2130004772V1 ,2130004772,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130023395V1P1I01   ,0130023395V1 ,130023395,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130079824V1P1I01   ,0130079824V1 ,130079824,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
2130015966V1P1I01   ,2130015966V1 ,2130015966,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130028031V1P1I01   ,0130028031V1 ,130028031,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130021935V1P1I01   ,2130021935V1 ,2130021935,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130016528V1P1I01   ,0130016528V1 ,130016528,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,5,33,,,,,,,,,,,,,,,,,,,,U ,
0130048574V1P1I01   ,0130048574V1 ,130048574,1,U,0001-01-01,U,FL,U ,2,10,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
2130012591V1P1I01   ,2130012591V1 ,2130012591,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,6,13,,,,,,,,,,,,,,,,,,,,U ,
0130075550V1P1I01   ,0130075550V1 ,130075550,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130082008V1P1I01   ,0130082008V1 ,130082008,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
3130019678V2P3I01   ,3130019678V2 ,3130019678,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130002537V1P1I01   ,3130002537V1 ,3130002537,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130024689V1P1I01   ,2130024689V1 ,2130024689,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130042902V1P1I01   ,0130042902V1 ,130042902,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130081786V1P1I01   ,0130081786V1 ,130081786,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130053294V1P1I01   ,0130053294V1 ,130053294,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130009747V1P1I01   ,2130009747V1 ,2130009747,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130038613V2P1I01   ,0130038613V2 ,130038613,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,30,,,,,,,,,,,,,,,,,,,,,,
2130018134V2P3I01   ,2130018134V2 ,2130018134,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130007834V1P1I01   ,3130007834V1 ,3130007834,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130035319V1P1I01   ,0130035319V1 ,130035319,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130023350V1P1I01   ,0130023350V1 ,130023350,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
2130019341V2P2I01   ,2130019341V2 ,2130019341,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130023750V1P1I01   ,0130023750V1 ,130023750,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
0130086229V1P1I01   ,0130086229V1 ,130086229,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130003705V2P4I01   ,3130003705V2 ,3130003705,1,U,0001-01-01,U,XX,NA,U ,U ,U ,NA,  ,  ,999,30,,,,,,,,,,,,,,,,,,,,,U ,
0130065123V1P1I01   ,0130065123V1 ,130065123,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130029463V1P1I01   ,0130029463V1 ,130029463,1,U,0001-01-01,5,FL,1,2,5,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130003497V2P2I01   ,2130003497V2 ,2130003497,1,U,0001-01-01,5,FL,1,2,U ,N ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130022841V1P1I01   ,0130022841V1 ,130022841,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130021634V1P1I01   ,2130021634V1 ,2130021634,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130036651V1P1I01   ,0130036651V1 ,130036651,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130019772V1P1I01   ,3130019772V1 ,3130019772,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130081258V1P1I01   ,0130081258V1 ,130081258,1,U,0001-01-01,U,FL,U ,NA,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130061364V1P1I01   ,0130061364V1 ,130061364,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
0130027755V1P1I01   ,0130027755V1 ,130027755,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,,
0130041090V2P1I01   ,0130041090V2 ,130041090,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130078274V1P1I01   ,0130078274V1 ,130078274,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,4,,,,,,,,,,,,,,,,,,,,,U ,
2130005832V1P1I01   ,2130005832V1 ,2130005832,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,5,13,,,,,,,,,,,,,,,,,,,,U ,
2130011582V2P3I01   ,2130011582V2 ,2130011582,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130032863V1P1I01   ,2130032863V1 ,2130032863,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130031628V2P3I01   ,3130031628V2 ,3130031628,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,13,5,,,,,,,,,,,,,,,,,,,,U ,
2130008550V1P1I01   ,2130008550V1 ,2130008550,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130075090V1P1I01   ,0130075090V1 ,130075090,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130076259V1P1I01   ,0130076259V1 ,130076259,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
3130007832V1P1I01   ,3130007832V1 ,3130007832,1,U,0001-01-01,U,FL,U ,U ,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130014807V1P1I01   ,0130014807V1 ,130014807,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,,
0130017811V1P1I01   ,0130017811V1 ,130017811,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130041281V1P1I01   ,0130041281V1 ,130041281,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130058458V1P1I01   ,0130058458V1 ,130058458,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
2130036150V2P2I01   ,2130036150V2 ,2130036150,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130056204V1P2I01   ,0130056204V1 ,130056204,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130070490V2P1I01   ,0130070490V2 ,130070490,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,,
0130048540V1P1I01   ,0130048540V1 ,130048540,1,U,0001-01-01,U,FL,U ,2,1,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130085113V1P1I01   ,0130085113V1 ,130085113,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130069214V1P1I01   ,0130069214V1 ,130069214,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130019399V2P3I01   ,2130019399V2 ,2130019399,1,U,12/9/93,5,FL,1,2,3,U ,NA,N ,  ,19,22,,,,,,,,,,,,,,,,,,,,,5,
0130058008V1P1I01   ,0130058008V1 ,130058008,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130081746V1P1I01   ,0130081746V1 ,130081746,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130021568V1P1I01   ,0130021568V1 ,130021568,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130017887V1P1I01   ,0130017887V1 ,130017887,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130015922V1P1I01   ,0130015922V1 ,130015922,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130032449V2P2I01   ,2130032449V2 ,2130032449,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130004021V2P3I01   ,2130004021V2 ,2130004021,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130021421V1P1I01   ,2130021421V1 ,2130021421,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130029639V1P1I01   ,2130029639V1 ,2130029639,1,U,6/15/93,5,FL,1,2,3,N ,NA,N ,  ,20,17,,,,,,,,,,,,,,,,,,,,,5,
2130020713V2P3I01   ,2130020713V2 ,2130020713,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
2130021390V2P3I01   ,2130021390V2 ,2130021390,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
0130043590V1P1I01   ,0130043590V1 ,130043590,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130069594V1P1I01   ,0130069594V1 ,130069594,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130061899V1P1I01   ,0130061899V1 ,130061899,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130002175V1P1I01   ,2130002175V1 ,2130002175,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,1,,,,,,,,,,,,,,,,,,,,,U ,
3130004672V2P3I01   ,3130004672V2 ,3130004672,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130021663V1P1I01   ,2130021663V1 ,2130021663,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
3130015059V2P4I01   ,3130015059V2 ,3130015059,1,U,0001-01-01,U,FL,U ,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130022292V2P3I01   ,2130022292V2 ,2130022292,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130041292V1P1I01   ,0130041292V1 ,130041292,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130059152V1P1I01   ,0130059152V1 ,130059152,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,,
0130069681V1P1I01   ,0130069681V1 ,130069681,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,,
0130040385V1P1I01   ,0130040385V1 ,130040385,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130029386V1P1I01   ,0130029386V1 ,130029386,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130048407V1P1I01   ,0130048407V1 ,130048407,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,,
2130024215V1P1I01   ,2130024215V1 ,2130024215,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,28,,,,,,,,,,,,,,,,,,,,U ,
0130035690V1P1I01   ,0130035690V1 ,130035690,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,5,28,,,,,,,,,,,,,,,,,,,,U ,
0130018275V1P1I01   ,0130018275V1 ,130018275,1,U,0001-01-01,5,FL,1,2,9,U ,NA,  ,  ,999,4,5,17,6,8,13,28,33,,,,,,,,,,,,,,U ,
0130029065V2P1I01   ,0130029065V2 ,130029065,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130002240V2P3I01   ,3130002240V2 ,3130002240,1,U,0001-01-01,5,FL,1,2,1,U ,NA,  ,  ,999,1,,,,,,,,,,,,,,,,,,,,,U ,
0130031033V1P1I01   ,0130031033V1 ,130031033,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130031189V1P1I01   ,0130031189V1 ,130031189,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
0130076280V1P1I01   ,0130076280V1 ,130076280,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,12,17,,,,,,,,,,,,,,,,,,,,,
0130066093V1P1I01   ,0130066093V1 ,130066093,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,17,,,,,,,,,,,,,,,,,,,,U ,
0130061722V1P1I01   ,0130061722V1 ,130061722,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130028762V1P1I01   ,0130028762V1 ,130028762,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,3,,,,,,,,,,,,,,,,,,,,,U ,
0130035387V2P1I01   ,0130035387V2 ,130035387,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130040866V2P1I01   ,0130040866V2 ,130040866,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130023573V1P1I01   ,0130023573V1 ,130023573,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130068143V1P1I01   ,0130068143V1 ,130068143,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130032285V1P1I01   ,0130032285V1 ,130032285,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130044344V1P1I01   ,0130044344V1 ,130044344,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130076125V1P1I01   ,0130076125V1 ,130076125,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130073127V1P1I01   ,0130073127V1 ,130073127,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130011454V1P1I01   ,2130011454V1 ,2130011454,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,8,,,,,,,,,,,,,,,,,,,,,U ,
2130034888V2P3I01   ,2130034888V2 ,2130034888,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130053557V1P1I01   ,0130053557V1 ,130053557,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130011745V1P1I01   ,0130011745V1 ,130011745,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130076271V1P1I01   ,0130076271V1 ,130076271,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,23,,,,,,,,,,,,,,,,,,,,,U ,
0130051038V2P1I01   ,0130051038V2 ,130051038,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130024034V1P1I01   ,0130024034V1 ,130024034,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130040601V1P1I01   ,0130040601V1 ,130040601,1,U,0001-01-01,U,FL,NA,NA,  ,N ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,,
0130011841V1P1I01   ,0130011841V1 ,130011841,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130051812V1P1I01   ,0130051812V1 ,130051812,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130035317V1P1I01   ,0130035317V1 ,130035317,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
